,pinyin,MC (B&S),GSR,漢語大字典,廣韻,
羕,yang4,yangH,0732k,53131.030,424.29,6
漾,yang4,yangH,0732s,31729.110,424.27,6
咬,yao1,'aew,1166g,10621.020,152.15 154.42,13
夭,yao1,'awX,1141a,10523.020,151.05 297.22 303.37,20
幺,yao1,'ew,1115a,21092.140,146.37,6
㝔,yao1,'ew,1166z,20928.030,,0
枖,yao1,'jew,1141c,21170.130,151.03,6
妖,yao1,'jew,1141d,21031.070,151.01,6
𡝩,yao1,'jew,1141e,21056.030,,0
祆,yao1,'jew,1141g,42388.100,,0
訞,yao1,'jew,1141h,63947.060,151.04,6
要,yao1,'jiew,1142a,42805.080,150.15 413.57,13
腰,yao1,'jiew,1142b,32094.050,150.16,6
喓,yao1,'jiew,1142c,10651.070,150.18,6
葽,yao1,'jiew,1142d,53245.030,146.39 150.17 296.27 413.58,27
爻,yao2,haew,1167a,10034.040,151.57,6
肴,yao2,haew,1167d,32049.170,151.47,6
堯,yao2,ngew,1164a,10459.140,146.25,6
陶,yao2,yew,1047d,64139.050,148.43 157.22,13
軺,yao2,yew,1131k,53525.090,148.39 149.19,13
䍃,yao2,yew,1144a,52936.010,205.08,6
窰,yao2,yew,1144b,42739.020,148.30,6
窯,yao2,yew,1144c,42739.040,148.29,6
傜,yao2,yew,1144d,10203.200,148.25,6
徭,yao2,yew,1144e,20839.030,,0
媱,yao2,yew,1144f,21072.160,148.24,6
搖,yao2,yew,1144g,31935.051,148.37 413.42,13
榣,yao2,yew,1144h,21265.060,149.05,6
瑤,yao2,yew,1144i,21132.031,149.08,6
謠,yao2,yew,1144j,64007.131,148.38,6
遙,yao2,yew,1144k,63873.021,148.23,6
鰩,yao2,yew,1144l,74707.070,148.34,6
繇,yao2,yew,1144n,53446.060,148.26 205.11 435.05,20
姚,yao2,yew,1145d,21046.030,148.36,6
珧,yao2,yew,1145g,21112.030,148.33,6
咬,yao3,'aew,1166g,10621.020,152.15 154.42,13
窈,yao3,'ewX,1115i,42727.070,296.22,6
宎,yao3,'ewX,1141i,20916.080,,0
窅,yao3,'ewX,1245a,42725.120,154.39 296.21,13
杳,yao3,'ewX,1245b,21169.010,296.20,6
夭,yao3,'jewX,1141a,10523.020,151.05 297.22 303.37,20
殀,yao3,'jewX,1141f,21382.090,297.23,6
咬,yao3,kaew,1166g,10621.020,152.15 154.42,13
咬,yao3,ngaewX,1166g,10621.020,152.15 154.42,13
舀,yao3,yewX,1078a,53038.140,077.03 205.06 299.04,20
舀,yao3,yuw,1078a,53038.140,077.03 205.06 299.04,20
舀,yao3,yuwX,1078a,53038.140,077.03 205.06 299.04,20
葯,yao4,'aewk,1120n,53259.090,467.02 502.30,13
穾,yao4,'ew,1141j,42724.020,,0
穾,yao4,'ewH,1141j,42724.020,,0
窔,yao4,'ewH,1166a',42729.120,413.25,6
穾,yao4,'ewX,1141j,42724.020,,0
約,yao4,'jiewH,1120m,53364.150,413.59 502.29,13
要,yao4,'jiewH,1142a,42805.080,150.15 413.57,13
樂,yao4,ngaewH,1125a,21280.160,416.59 464.21 505.21,20
藥,yao4,yak,1125p,53320.110,501.01,6
曜,yao4,yewH,1124i,21540.050,413.46,6
燿,yao4,yewH,1124j,32244.030,413.40,6
耀,yao4,yewH,1124k,53359.050,413.45,6
鷂,yao4,yewH,1144m,74651.150,148.46 413.41,13
噎,ye1,'et,0395b,10681.030,495.30,6
暍,ye1,'jot,0313v,21523.140,479.21 483.13,13
耶,ye2,yae,0047b,42784.030,165.06,6
也,ye3,yaeX,0004g,10050.050,307.40,6
野,ye3,yaeX,0083l,63683.010,259.39 307.38,13
𡐨,ye3,yaeX,0083m,10486.070,,0
埜,ye3,yaeX,0083n,10450.050,,0
冶,ye3,yaeX,0976p',10296.070,307.41,6
擪,ye4,'jiemX,0616g,31973.060,334.28 540.63,13
謁,ye4,'jot,0313x,63997.040,479.19,6
燁,ye4,hip,0682a,32222.080,540.49,6
爗,ye4,hip,0682b,32243.030,,0
饁,ye4,hjep,0642x,74467.040,540.48,6
燁,ye4,hjep,0682a,32222.080,540.49,6
爗,ye4,hjep,0682b,32243.030,,0
業,ye4,ngjaep,0640a,21247.070,545.12,6
夜,ye4,yaeH,0800j,10285.010,422.55,6
曳,ye4,yejH,0338a,21486.050,377.51,6
掖,ye4,yek,0800l,31903.050,517.16,6
腋,ye4,yek,0800m,32090.050,517.15,6
液,ye4,yek,0800n,31658.020,517.19,6
枼,ye4,yep,0633a,21178.010,538.26,6
葉,ye4,yep,0633d,53243.150,538.21 538.44,13
鍱,ye4,yep,0633e,64228.050,538.24,6
揲,ye4,yep,0633l,31911.150,497.47 538.23 542.01,20
偞,ye4,yep,0633m,10186.170,538.25 542.60,13
燁,ye4,yep,0682a,32222.080,540.49,6
抴,ye4,yet,0339e,31849.010,378.16 500.62,13
噫,yi1,'eajH,0957b,10694.010,062.45 384.43,13
繄,yi1,'ej,0589e,53442.050,089.42 373.34,13
鷖,yi1,'ej,0589g,74656.080,089.33,6
噫,yi1,'i,0957b,10694.010,062.45 384.43,13
醫,yi1,'i,0958a,63595.090,062.41,6
衣,yi1,'j+j,0550a,53074.010,065.52 361.40,13
依,yi1,'j+j,0550f,10152.080,065.50,6
椅,yi1,'je,0001g',21228.090,049.13 242.45,13
猗,yi1,'je,0001h',21352.040,049.12 242.44,13
陭,yi1,'je,0001j',64136.030,049.16 348.17,13
禕,yi1,'je,0571l,42405.050,049.15,6
伊,yi1,'jij,0604a,10126.090,054.31,6
咿,yi1,'jij,0604d,10618.070,054.32,6
一,yi1,'jit,0394a,10001.010,468.40,6
壹,yi1,'jit,0395a,10467.100,468.42,6
疑,yi2,ngi,0956a,42751.040,059.25,6
嶷,yi2,ngi,0956c,10803.030,059.26 528.61,13
觺,yi2,ngi,0956f,63934.050,059.27 528.65,13
觺,yi2,ngik,0956f,63934.050,059.27 528.65,13
儀,yi2,ngje,0002u,10228.020,045.08,6
宜,yi2,ngje,0021a,20920.060,045.04,6
訑,yi2,tha,0004q,63944.020,,0
訑,yi2,thwa,0004q,63944.020,,0
移,yi2,ye,0003q,42603.200,041.16,6
迻,yi2,ye,0003r,63831.030,041.18,6
袘,yi2,ye,0004h',53083.080,,0
迤,yi2,ye,0004i',63825.030,,0
𨠑,yi2,ye,0004k',63579.020,,0
蛇,yi2,ye,0004l,42845.080,041.42 160.47 165.34,20
匜,yi2,ye,0004n,10082.060,041.38 244.25,13
椸,yi2,ye,0004n',21254.150,,0
訑,yi2,ye,0004q,63944.020,,0
迆,yi2,ye,0004r,63817.080,041.33 244.24,13
酏,yi2,ye,0004s,63575.010,041.37 244.23,13
杝,yi2,ye,0004y,21163.010,041.20 244.12,13
頤,yi2,yi,0960c,74371.110,059.07,6
巸,yi2,yi,0960d,20986.080,059.03,6
台,yi2,yi,0976p,10575.020,059.15 100.45,13
怡,yi2,yi,0976u,42289.010,058.49,6
詒,yi2,yi,0976v,63960.040,059.08 274.13,13
貽,yi2,yi,0976x,63636.080,059.02,6
飴,yi2,yi,0976y,74449.090,058.46,6
夷,yi2,yij,0551a,10527.050,051.13,6
侇,yi2,yij,0551d,10147.020,,0
姨,yi2,yij,0551e,21043.120,051.10,6
洟,yi2,yij,0551f,31605.070,051.35 371.36,13
痍,yi2,yij,0551g,42671.020,051.21,6
䧅,yi2,yij,0551h,64126.050,051.22,6
桋,yi2,yij,0551j,21197.050,051.24 088.03,13
荑,yi2,yij,0551k,53202.060,051.23 088.19,13
彝,yi2,yij,1237c,20962.180,,0
遺,yi2,ywij,0540m,63882.070,055.44 356.06,13
鈶,yi2,ziX,0976c',64192.100,252.07,6
㫊,yi3,'aX,0001n,32180.020,305.09,6
乙,yi3,'it,0505a,10047.040,472.31,6
依,yi3,'j+jX,0550f,10152.080,065.50,6
扆,yi3,'j+jX,0550g,32263.040,254.41,6
偯,yi3,'j+jX,0550j,10194.060,254.43,6
倚,yi3,'jeX,0001f',10173.010,242.43 348.15,13
猗,yi3,'jeX,0001h',21352.040,049.12 242.44,13
輢,yi3,'jeX,0001i',53537.090,243.01 347.21 348.16,20
㫊,yi3,'jeX,0001n,32180.020,305.09,6
矣,yi3,hiX,0976l,42580.040,254.08,6
螘,yi3,ngj+jX,0548i,42878.110,243.16 255.43,13
踦,yi3,ngjeX,0001c',63713.040,044.49 243.06,13
錡,yi3,ngjeX,0001v,64217.020,044.03 242.41 243.19,20
蛾,yi3,ngjeX,0002q,42856.060,160.38 243.18,13
蟻,yi3,ngjeX,0002x,42898.110,243.17,6
胣,yi3,yeX,0004g',32061.020,,0
㠯,yi3,yiX,0976a,10029.020,251.20,6
以,yi3,yiX,0976b,10105.070,251.19,6
苢,yi3,yiX,0976f,53192.040,251.23,6
苡,yi3,yiX,0976g,53185.090,251.22,6
佁,yi3,yiX,0976t,10141.040,251.24 274.45 357.20,20
已,yi3,yiX,0977a,20984.010,251.21 357.52,13
翳,yi4,'ej,0589f,53355.130,089.34 373.21,13
曀,yi4,'ejH,0395i,21535.040,373.22,6
㙪,yi4,'ejH,0395j,10485.100,354.21 373.35,13
殪,yi4,'ejH,0395k,21394.080,373.27,6
医,yi4,'ejH,0589a,10085.030,373.29,6
殹,yi4,'ejH,0589b,32159.090,373.37,6
翳,yi4,'ejH,0589f,53355.130,089.34 373.21,13
縊,yi4,'ejH,0849g,53439.080,348.36 373.32,13
意,yi4,'iH,0957a,42323.030,358.27,6
鷾,yi4,'iH,0957c,74666.040,358.28,6
㦤,yi4,'ijH,0395c,42367.220,,0
懿,yi4,'ijH,0395d,42371.030,354.19,6
饐,yi4,'ijH,0395h,74473.020,354.20,6
抑,yi4,'ik,0915a,31841.070,526.28,6
醷,yi4,'ik,0957d,63601.090,254.30 526.20,13
億,yi4,'ik,0957e,10227.060,526.15,6
憶,yi4,'ik,0957f,42362.130,526.14,6
檍,yi4,'ik,0957g,21305.030,526.26,6
繶,yi4,'ik,0957h,53462.010,526.19,6
臆,yi4,'ik,0957i,32118.030,526.16,6
邑,yi4,'ip,0683a,63753.010,533.46,6
悒,yi4,'ip,0683f,42305.060,533.47,6
浥,yi4,'ip,0683h,31625.010,533.50 544.16 546.04,20
醷,yi4,'iX,0957d,63601.090,254.30 526.20,13
衣,yi4,'j+jH,0550a,53074.010,065.52 361.40,13
瘞,yi4,'jejH,0332a,42688.090,378.26,6
縊,yi4,'jieH,0849g,53439.080,348.36 373.32,13
益,yi4,'jiek,0849a,42560.060,516.46,6
嗌,yi4,'jiek,0849c,10670.100,516.48,6
膉,yi4,'jiek,0849d,32104.100,516.51,6
挹,yi4,'jip,0683g,31883.060,532.11,6
唈,yi4,'op,0683i,10630.080,533.48 536.49,13
詣,yi4,ngejH,0552k,63968.050,372.31,6
掜,yi4,ngejH,0873g,31898.060,093.52 270.25,13
鷁,yi4,ngek,0849f,74653.060,521.65,6
鷊,yi4,ngek,0855h,74650.030,,0
鶂,yi4,ngek,0873p,74641.020,522.01,6
劓,yi4,ngijH,0537a,10360.200,352.51,6
圾,yi4,ngip,0681k,10420.040,,0
豙,yi4,ngj+jH,0516a,63612.040,358.35 361.10,13
毅,yi4,ngj+jH,0516c,32165.050,361.08,6
藙,yi4,ngj+jH,0516d,53322.020,361.12,6
仡,yi4,ngj+t,0517m,10114.050,477.02 477.19,13
圪,yi4,ngj+t,0517n,10419.090,472.38 477.17,13
義,yi4,ngjeH,0002r,53133.020,348.01,6
議,yi4,ngjeH,0002v,64026.010,347.42,6
誼,yi4,ngjeH,0021h,63992.120,347.43,6
㓷,yi4,ngjejH,0285e,10350.120,379.33,6
埶,yi4,ngjejH,0330a,10455.040,378.31,6
蓺,yi4,ngjejH,0330e,53275.040,378.32,6
藝,yi4,ngjejH,0330f,53317.120,378.30,6
囈,yi4,ngjejH,0330i,10705.130,378.35,6
帠,yi4,ngjejH,0331a,10739.230,,0
乂,yi4,ngjojH,0347a,10031.030,391.45,6
刈,yi4,ngjojH,0347b,10323.070,391.44,6
艾,yi4,ngjojH,0347c,53172.090,380.05 391.49,13
仡,yi4,xj+t,0517m,10114.050,477.02 477.19,13
移,yi4,yeH,0003q,42603.200,041.16,6
易,yi4,yeH,0850a,21494.010,347.36 517.18,13
裔,yi4,yejH,0333a,53091.010,377.52,6
抴,yi4,yejH,0339e,31849.010,378.16 500.62,13
枻,yi4,yejH,0339f,21177.050,378.04,6
詍,yi4,yejH,0339g,63952.060,378.05,6
勩,yi4,yejH,0339k,10380.020,355.39 377.54,13
睪,yi4,yek,0790a,42918.060,517.04 539.42,13
圛,yi4,yek,0790b,10726.150,517.23,6
懌,yi4,yek,0790c,42361.030,517.10,6
斁,yi4,yek,0790d,21478.060,367.09 368.20 517.11,20
繹,yi4,yek,0790e,53459.040,517.03,6
譯,yi4,yek,0790f,64024.060,517.09,6
醳,yi4,yek,0790g,63600.040,517.14,6
驛,yi4,yek,0790h,74579.190,517.12,6
𢍰,yi4,yek,0790i,10519.070,,0
澤,yi4,yek,0790o,31757.010,512.34,6
亦,yi4,yek,0800a,10281.030,517.05,6
奕,yi4,yek,0800d,10540.030,517.07,6
帟,yi4,yek,0800e,10738.010,517.08,6
弈,yi4,yek,0800f,10517.020,517.06,6
䠶,yi4,yek,0807b,63809.170,423.20,6
易,yi4,yek,0850a,21494.010,347.36 517.18,13
蜴,yi4,yek,0850f,42862.050,517.21,6
埸,yi4,yek,0850g,10453.030,517.22,6
垼,yi4,yek,0851b,10445.120,519.33,6
疫,yi4,yek,0851c,42663.080,519.30,6
佾,yi4,yet,0397a,10150.060,469.26,6
異,yi4,yiH,0954a,42540.050,357.48,6
廙,yi4,yiH,0954e,20899.020,357.54 527.03,13
异,yi4,yiH,0977b,10514.110,,0
隶,yi4,yijH,0509a,74323.010,355.40,6
肄,yi4,yijH,0509g,53168.010,355.35,6
殔,yi4,yijH,0509p,21390.160,355.36,6
翊,yi4,yik,0912a,53346.090,527.01,6
翌,yi4,yik,0912b,53346.070,527.02,6
弋,yi4,yik,0918a,10557.230,526.58,6
㚤,yi4,yik,0918c,21025.080,527.11,6
杙,yi4,yik,0918e,21160.020,527.13,6
翼,yi4,yik,0954d,53356.010,527.05,6
廙,yi4,yik,0954e,20899.020,357.54 527.03,13
瀷,yi4,yik,0954i,31791.040,527.22 529.02,13
熠,yi4,yip,0690f,32230.030,533.59 533.61,13
逸,yi4,yit,0396a,63853.010,469.24,6
佚,yi4,yit,0402b,10134.050,469.25,6
泆,yi4,yit,0402c,31587.070,469.30 493.41,13
軼,yi4,yit,0402d,53521.050,469.28 493.22,13
溢,yi4,yit,1257a,31707.050,469.27,6
鎰,yi4,yit,1257b,64244.070,469.29,6
役,yi4,ywek,0851a,20814.230,519.28,6
𩃬,yin1,'im,0651a',64066.120,,0
侌,yin1,'im,0651x,10143.100,,0
陰,yin1,'im,0651y,64138.050,220.10,6
音,yin1,'im,0653a,74495.010,220.09,6
喑,yin1,'im,0653d,10659.060,220.15 222.06 441.12,20
瘖,yin1,'im,0653e,42686.070,220.12,6
𢉩,yin1,'im,0653f,20894.030,,0
駰,yin1,'in,0370g,74553.090,101.39 106.12,13
咽,yin1,'in,0370h,10616.020,134.10 408.27 495.35,20
陻,yin1,'in,0483c,64142.150,101.45,6
堙,yin1,'in,0483d,10461.060,101.47,6
湮,yin1,'in,0483e,31671.040,101.40 134.13,13
殷,yin1,'j+n,0448a,32156.040,112.21 130.05,13
慇,yin1,'j+n,0448e,42334.060,112.22,6
愔,yin1,'jim,0653c,42331.050,218.43,6
婣,yin1,'jin,0367d,21066.190,101.50,6
因,yin1,'jin,0370a,10711.090,101.33,6
茵,yin1,'jin,0370d,53204.040,101.34,6
絪,yin1,'jin,0370e,53393.020,101.43,6
姻,yin1,'jin,0370f,21044.080,101.49,6
駰,yin1,'jin,0370g,74553.090,101.39 106.12,13
垔,yin1,'jin,0483a,10438.010,101.44,6
闉,yin1,'jin,0483f,74307.090,101.38,6
禋,yin1,'jin,0483g,42404.040,101.36,6
唫,yin2,gimX,0652g,10643.070,219.41 329.29,13
唫,yin2,khim,0652g,10643.070,219.41 329.29,13
吟,yin2,ngim,0651s,10591.100,219.38 441.22,13
唫,yin2,ngim,0652g,10643.070,219.41 329.29,13
誾,yin2,ngin,0251f,74301.050,105.18,6
銀,yin2,ngin,0416k,64202.180,105.11,6
嚚,yin2,ngin,1251a,10699.190,105.20,6
言,yin2,ngj+n,0251a,63936.010,115.31,6
狺,yin2,ngj+n,0251g,21350.040,105.13 112.47,13
垠,yin2,ngj+n,0416h,10442.070,105.24 112.40 120.34,20
圻,yin2,ngj+n,0443l,10423.070,065.11 112.39 120.35,20
寅,yin2,yij,0450a,20936.160,051.12 104.22,13
鐔,yin2,yim,0646e,64255.010,216.38 218.37 221.14,20
冘,yin2,yim,0656a,10302.170,204.35 218.31,13
㸒,yin2,yim,0657a,32030.090,218.36,6
淫,yin2,yim,0657b,31654.040,218.24,6
寅,yin2,yin,0450a,20936.160,051.12 104.22,13
夤,yin2,yin,0450h,20866.100,104.23,6
飲,yin3,'imX,0651i',74445.070,329.39 441.15,13
㱃,yin3,'imX,0651i',32150.080,329.38,6
殷,yin3,'j+nX,0448a,32156.040,112.21 130.05,13
隱,yin3,'j+nX,0449a,64162.090,279.29 397.15,13
檃,yin3,'j+nX,0449b,21297.020,,0
趛,yin3,ngimX,0652h,53493.060,329.33,6
靷,yin3,yinH,0371b,74329.020,276.45 392.28,13
引,yin3,yinX,0371a,20988.050,276.32 392.29,13
蚓,yin3,yinX,0371c,42841.020,276.34,6
螾,yin3,yinX,0450j,42887.200,104.26 276.35,13
尹,yin3,ywinX,1251l,20964.010,277.28,6
蔭,yin4,'imH,0651b',53273.020,441.09,6
廕,yin4,'imH,0651c',20897.020,441.14,6
陰,yin4,'imH,0651y,64138.050,220.10,6
喑,yin4,'imH,0653d,10659.060,220.15 222.06 441.12,20
飲,yin4,'imH,0654a,74445.070,329.39 441.15,13
隱,yin4,'j+nH,0449a,64162.090,279.29 397.15,13
印,yin4,'jinH,1251f,10312.020,394.18,6
憖,yin4,nginH,1251b,42349.140,393.30,6
憗,yin4,nginH,1251c,42350.010,,0
𣍃,yin4,yinH,0385l,42549.110,,0
胤,yin4,yinH,0451a,10039.160,,0
酳,yin4,yinH,0451c,63585.040,392.27,6
嚶,ying1,'eang,0814f,10704.010,188.51,6
鸚,ying1,'eang,0814g,74671.090,188.54,6
罌,ying1,'eang,0814h,52939.140,188.48,6
鶯,ying1,'eang,0843l,74653.090,188.50,6
䧹,ying1,'ing,0890a,64098.040,,0
鷹,ying1,'ing,0890c,74666.020,199.17,6
應,ying1,'ing,0890d,42359.030,199.15 433.08,13
膺,ying1,'ing,0890e,32118.010,199.14,6
英,ying1,'jaeng,0718k,53192.010,185.36,6
嬰,ying1,'jieng,0814a,21086.080,191.06,6
攖,ying1,'jieng,0814c,31984.130,191.09,6
纓,ying1,'jieng,0814e,53468.140,191.08,6
縈,ying2,'jwieng,0843h,53440.030,192.40,6
瑩,ying2,'wengH,0843k,21132.150,186.30 432.33,13
瑩,ying2,hjwaeng,0843k,21132.150,186.30 432.33,13
熒,ying2,hweng,0843a,32225.020,198.05,6
螢,ying2,hweng,0843i,42881.060,198.07,6
熒,ying2,hwengH,0843a,32225.020,198.05,6
迎,ying2,ngjaeng,0699d,63821.090,187.22 430.19,13
盈,ying2,yeng,0815a,42558.120,190.31,6
楹,ying2,yeng,0815c,21258.020,190.36,6
嬴,ying2,yeng,0816a,32113.090,190.32,6
瀛,ying2,yeng,0816e,31785.010,190.34,6
贏,ying2,yeng,0816f,32125.020,190.37,6
桯,ying2,yeng,0835y,21214.070,194.03 197.14,13
蠅,ying2,ying,0892a,42897.010,199.26,6
塋,ying2,yweng,0843c,10474.050,191.02,6
營,ying2,yweng,0843f,32237.050,190.43,6
謍,ying2,yweng,0843j,64009.060,184.49 189.56 191.05,20
影,ying3,'jaengX,0756a,20857.040,316.17,6
癭,ying3,'jiengX,0814d,42703.240,318.44,6
穎,ying3,kjwiengX,0828c,74376.030,318.21 319.24,13
穎,ying3,kwengX,0828c,74376.030,318.21 319.24,13
穎,ying3,ywengX,0828c,74376.030,318.21 319.24,13
應,ying4,'ingH,0890d,42359.030,199.15 433.08,13
迎,ying4,ngjaengH,0699d,63821.090,187.22 430.19,13
繩,ying4,yingH,0892b,53457.090,199.27,6
㑞,ying4,yingH,0893c,10166.030,432.45,6
媵,ying4,yingH,0893k,32099.020,432.44 432.50,13
賸,ying4,yingH,0893l,32118.080,432.43 433.02,13
邕,yong1,'jowng,1184a,63754.040,036.06,6
雝,yong1,'jowng,1184c,64108.030,036.18,6
雍,yong1,'jowng,1184h,10291.090,036.07 345.03,13
廱,yong1,'jowng,1184j,20909.010,036.15,6
癰,yong1,'jowng,1184l,42704.120,036.13,6
饔,yong1,'jowng,1184m,74477.020,036.16,6
雍,yong1,'jowngX,1184h,10291.090,036.07 345.03,13
擁,yong1,'jowngX,1184k,31972.010,238.02,6
壅,yong1,'jwong,1184i,10493.040,036.17 238.04,13
鏞,yong1,yowng,1185a',64250.060,035.10,6
庸,yong1,yowng,1185x,20890.050,035.03,6
傭,yong1,yowng,1185y,10214.060,035.13 036.40,13
墉,yong1,yowng,1185z,10481.140,035.08,6
𦤘,yong1,yowng,1186a,53048.180,035.04,6
喁,yong2,ngjowng,0124m,10653.120,036.05,6
顒,yong2,ngjowng,0124p,74381.060,036.02,6
喁,yong2,nguwX,0124m,10653.120,036.05,6
壅,yong3,'jwongX,1184i,10493.040,036.17 238.04,13
禜,yong3,hjwaeng,0843e,42406.080,186.28 429.34,13
咏,yong3,hjwaengH,0764g,10609.010,429.32,6
詠,yong3,hjwaengH,0764i,63957.080,429.31,6
泳,yong3,hjwaengH,0764j,31595.050,429.33,6
禜,yong3,hjwaengH,0843e,42406.080,186.28 429.34,13
永,yong3,hjwaengX,0764a,31546.030,316.34,6
𢦨,yong3,yowngX,1185f,21405.050,,0
甬,yong3,yowngX,1185h,10053.180,238.29,6
俑,yong3,yowngX,1185j,10168.020,031.35 238.39,13
勇,yong3,yowngX,1185k,10372.070,238.26,6
涌,yong3,yowngX,1185l,31636.080,238.28,6
蛹,yong3,yowngX,1185m,42858.060,238.37,6
踊,yong3,yowngX,1185n,63711.040,238.30,6
湧,yong3,yowngX,1185u,31691.050,,0
壅,yong4,'jwongH,1184i,10493.040,036.17 238.04,13
用,yong4,yowngH,1185a,10097.050,344.27,6
𢆶,you1,'jiw,1115b,21093.090,202.41 215.43,13
幽,you1,'jiw,1115c,21094.080,215.37,6
呦,you1,'jiw,1115g,10610.100,215.39,6
憂,you1,'juw,1071a,42341.140,202.33,6
優,you1,'juw,1071d,10233.040,202.34,6
瀀,you1,'juw,1071f,31777.090,202.35,6
纋,you1,'juw,1071g,53466.050,202.47,6
耰,you1,'juw,1071h,42777.020,202.44,6
麀,you1,'juw,1072a,74727.040,202.37,6
𢆶,you1,'juw,1115b,21093.090,202.41 215.43,13
攸,you1,yuw,1077a,10132.010,204.30,6
悠,you1,yuw,1077c,42300.150,204.27,6
尤,you2,hjuw,0996a,10551.140,202.24,6
訧,you2,hjuw,0996d,63944.180,202.32,6
疣,you2,hjuw,0996e,42661.130,202.27,6
肬,you2,hjuw,0996f,32047.070,202.28,6
郵,you2,hjuw,0997a,63779.050,202.31,6
脩,you2,yuw,1077e,10176.040,205.43,6
滺,you2,yuw,1077q,31725.030,,0
由,you2,yuw,1079a,42524.020,204.29,6
油,you2,yuw,1079c,31585.010,204.28 437.07,13
斿,you2,yuw,1080a,32176.050,204.45,6
游,you2,yuw,1080f,31684.080,204.46,6
遊,you2,yuw,1080g,63861.020,204.47,6
蝣,you2,yuw,1080h,42873.030,204.41,6
逌,you2,yuw,1081g,63840.050,,0
蕕,you2,yuw,1096a',53294.080,204.31,6
庮,you2,yuw,1096h,20885.050,205.16 324.08,13
猶,you2,yuw,1096r,21359.090,204.26 434.44 437.08,20
猷,you2,yuw,1096t,21355.080,204.25,6
輶,you2,yuw,1096y,53547.060,204.37 324.15 437.11,20
櫾,you2,yuw,1144o,21321.120,204.42 437.10,13
黝,you3,'jiwX,1115h,74748.020,054.34 327.50,13
懮,you3,'juwX,1071e,42367.050,324.29,6
友,you3,hjuwX,0995e,10391.010,321.10,6
有,you3,hjuwX,0995o,32041.050,321.07,6
卣,you3,yuw,1081a,10093.150,204.49 324.03,13
梄,you3,yuwH,1096i,21211.030,,0
羑,you3,yuwX,0993f,53127.040,324.07,6
脩,you3,yuwX,1077e,10176.040,205.43,6
卣,you3,yuwX,1081a,10093.150,204.49 324.03,13
牖,you3,yuwX,1082a,32020.090,324.02,6
莠,you3,yuwX,1095d,53220.010,324.06,6
酉,you3,yuwX,1096a,63572.010,323.41,6
庮,you3,yuwX,1096h,20885.050,205.16 324.08,13
梄,you3,yuwX,1096i,21211.030,,0
槱,you3,yuwX,1096j,21277.030,324.04 437.03,13
幼,you4,'jiwH,1115f,21093.070,440.22,6
又,you4,hjuwH,0995a,10390.010,434.20,6
右,you4,hjuwH,0995i,10569.010,321.08 434.22,13
佑,you4,hjuwH,0995k,10131.020,434.21,6
祐,you4,hjuwH,0995l,42391.010,434.23,6
侑,you4,hjuwH,0995q,10146.040,434.33,6
宥,you4,hjuwH,0995r,20925.010,434.19,6
囿,you4,hjuwH,0995u,10717.200,434.29 459.22,13
囿,you4,hjuwk,0995u,10717.200,434.29 459.22,13
右,you4,hjuwX,0995i,10569.010,321.08 434.22,13
祐,you4,hjuwX,0995l,42391.010,434.23,6
柚,you4,yuwH,1079b,21182.050,437.04 454.43,13
鼬,you4,yuwH,1079d,74773.120,437.02,6
褏,you4,yuwH,1079n,53101.100,,0
褎,you4,yuwH,1079o,53101.110,157.18 437.06,13
槱,you4,yuwH,1096j,21277.030,324.04 437.03,13
狖,you4,yuwH,1246c,21342.010,436.52,6
誘,you4,yuwX,1095e,63977.050,323.43,6
俞,yu,yu,0125a,10155.030,076.25 436.04,13
菸,yu1,'jo,0061i,53239.040,362.50,6
瘀,yu1,'joH,0061h,42682.080,362.45,6
迂,yu1,'ju,0097p,63815.100,073.22 079.61 263.26,20
紆,yu1,'ju,0097y,53362.100,079.54,6
迂,yu1,hju,0097p,63815.100,073.22 079.61 263.26,20
於,yu2,'jo,0061e,32175.020,069.36 085.17,13
窬,yu2,duw,0125q,42735.110,076.16 214.37 438.26,20
歈,yu2,duw,0125t,32146.070,076.26 214.39,13
揄,yu2,duwX,0125p,31921.020,076.29 205.05 214.36 327.43,27
㬰,yu2,gwijH,0540a,21485.020,076.17,6
于,yu2,hju,0097a,10004.050,073.21,6
杅,yu2,hju,0097i,21156.130,074.05,6
玗,yu2,hju,0097j,21102.010,074.01,6
盂,yu2,hju,0097k,42557.060,073.23 123.06,13
竽,yu2,hju,0097n,52948.030,073.27,6
雩,yu2,hju,0097q,64057.040,073.25 074.16,13
衙,yu2,ngjo,0058s,20837.070,066.24 168.10 256.11,20
鋙,yu2,ngjo,0058v,64205.030,066.22 256.13,13
魚,yu2,ngjo,0079a,74674.010,066.15,6
漁,yu2,ngjo,0079g,31726.100,066.17,6
䱷,yu2,ngjo,0079m,21481.010,066.20,6
娛,yu2,ngju,0059g,21051.081,072.11 368.52,13
虞,yu2,ngju,0059h,42827.020,072.08,6
禺,yu2,ngju,0124a,42533.040,072.17 364.06,13
嵎,yu2,ngju,0124f,10786.030,072.15,6
愚,yu2,ngju,0124g,42321.070,072.10,6
隅,yu2,ngju,0124i,64145.010,072.18,6
髃,yu2,ngju,0124k,74414.190,072.16 326.33,13
齵,yu2,ngju,0124l,74797.150,072.25 214.41,13
喁,yu2,ngju,0124m,10653.120,036.05,6
余,yu2,yo,0082a,10128.040,067.40 169.01,13
畬,yu2,yo,0082f,42543.020,068.05 165.04,13
